Borough,Council District,Counted Rental Units,Counted Homeownership Units,All Counted Units
Queens,20,286,10,296
Bronx,11,507,452,959
Bronx,16,2485,396,2881
Queens,30,0,6,6
Brooklyn,38,488,5,493
Queens,27,1344,71,1415
Manhattan,3,1628,2198,3826
Manhattan,1,1697,15,1712
Staten Island,,0,2,2
Manhattan,4,5401,0,5401
Brooklyn,34,1079,26,1105
Bronx,14,3336,159,3495
Manhattan,10,548,3,551
Manhattan,7,948,35,983
Bronx,18,1733,50,1783
Queens,23,0,12,12
Brooklyn,45,123,27,150
Manhattan,5,193,11,204
Queens,,0,2,2
Queens,21,439,15,454
Brooklyn,47,1463,135,1598
Brooklyn,46,41,46,87
Queens,34,0,2,2
Brooklyn,33,2353,4,2357
Manhattan,8,1875,9,1884
Brooklyn,40,377,10,387
Queens,28,53,24,77
Bronx,17,7735,69,7804
Bronx,15,3698,275,3973
Brooklyn,39,342,41,383
Brooklyn,44,253,5,258
Staten Island,51,0,43,43
Brooklyn,43,106,3,109
Brooklyn,41,3455,355,3810
Manhattan,2,1672,490,2162
Bronx,12,24,313,337
Queens,32,64,6,70
Manhattan,6,974,0,974
Queens,29,0,10,10
Queens,19,0,7,7
Brooklyn,36,2262,42,2304
Queens,22,637,8,645
Brooklyn,48,0,739,739
Bronx,13,2,182,184
Brooklyn,35,2739,794,3533
Brooklyn,42,3301,130,3431
Queens,25,6,3,9
Staten Island,49,1561,73,1634
Staten Island,50,339,37,376
Queens,26,287,985,1272
Queens,24,174,12,186
Bronx,8,2466,132,2598
Queens,31,1380,383,1763
Brooklyn,37,706,44,750
Manhattan,9,5080,1085,6165
